filenames,labels
./processed_spectrograms/120664_chunk_49.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_0.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_1.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_2.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_3.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_4.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_5.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_6.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_7.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_8.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_9.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_10.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_11.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_12.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_13.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_14.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_15.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_16.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_17.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_18.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_19.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_20.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_21.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_22.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_23.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_24.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_25.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_26.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_27.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_28.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_29.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_30.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_31.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_32.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_33.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_34.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_35.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_36.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_37.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_38.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_39.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_40.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_41.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_42.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_43.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_44.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_45.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_46.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_47.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_48.pt,Sedge Warbler
./processed_spectrograms/120666_chunk_49.pt,Sedge Warbler
./processed_spectrograms/76767_chunk_0.pt,Sedge Warbler
./processed_spectrograms/76767_chunk_1.pt,Sedge Warbler
./processed_spectrograms/124052_chunk_0.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_1.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_2.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_3.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_4.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_5.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_6.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_7.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_8.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_9.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_10.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_11.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_12.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_13.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_14.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_15.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_16.pt,Eurasian Reed Warbler
./processed_spectrograms/124052_chunk_17.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_0.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_1.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_2.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_3.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_4.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_5.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_6.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_7.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_8.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_9.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_10.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_11.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_12.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_13.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_14.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_15.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_16.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_17.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_18.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_19.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_20.pt,Eurasian Reed Warbler
./processed_spectrograms/124053_chunk_21.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_0.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_1.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_2.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_3.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_4.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_5.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_6.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_7.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_8.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_9.pt,Eurasian Reed Warbler
./processed_spectrograms/27999_chunk_10.pt,Eurasian Reed Warbler
./processed_spectrograms/113082_chunk_0.pt,Long-tailed Tit
./processed_spectrograms/113082_chunk_1.pt,Long-tailed Tit
./processed_spectrograms/113082_chunk_2.pt,Long-tailed Tit
./processed_spectrograms/113082_chunk_3.pt,Long-tailed Tit
./processed_spectrograms/113082_chunk_4.pt,Long-tailed Tit
./processed_spectrograms/113082_chunk_5.pt,Long-tailed Tit
./processed_spectrograms/101371_chunk_0.pt,Long-tailed Tit
./processed_spectrograms/101371_chunk_1.pt,Long-tailed Tit
./processed_spectrograms/101371_chunk_2.pt,Long-tailed Tit
./processed_spectrograms/101371_chunk_3.pt,Long-tailed Tit
./processed_spectrograms/101371_chunk_4.pt,Long-tailed Tit
./processed_spectrograms/128853_chunk_0.pt,Long-tailed Tit
./processed_spectrograms/128853_chunk_1.pt,Long-tailed Tit
./processed_spectrograms/128853_chunk_2.pt,Long-tailed Tit
./processed_spectrograms/128853_chunk_3.pt,Long-tailed Tit
./processed_spectrograms/128853_chunk_4.pt,Long-tailed Tit
./processed_spectrograms/128853_chunk_5.pt,Long-tailed Tit
./processed_spectrograms/123169_chunk_0.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_1.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_2.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_3.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_4.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_5.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_6.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_7.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_8.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_9.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_10.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_11.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_12.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_13.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_14.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_15.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_16.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_17.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_18.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_19.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_20.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_21.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_22.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_23.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_24.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_25.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_26.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_27.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_28.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_29.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_30.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_31.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_32.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_33.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_34.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_35.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_36.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_37.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_38.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_39.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_40.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_41.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_42.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_43.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_44.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_45.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_46.pt,Eurasian Skylark
./processed_spectrograms/123169_chunk_47.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_0.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_1.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_2.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_3.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_4.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_5.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_6.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_7.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_8.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_9.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_10.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_11.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_12.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_13.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_14.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_15.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_16.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_17.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_18.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_19.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_20.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_21.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_22.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_23.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_24.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_25.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_26.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_27.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_28.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_29.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_30.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_31.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_32.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_33.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_34.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_35.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_36.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_37.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_38.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_39.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_40.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_41.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_42.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_43.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_44.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_45.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_46.pt,Eurasian Skylark
./processed_spectrograms/123170_chunk_47.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_0.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_1.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_2.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_3.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_4.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_5.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_6.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_7.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_8.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_9.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_10.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_11.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_12.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_13.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_14.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_15.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_16.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_17.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_18.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_19.pt,Eurasian Skylark
./processed_spectrograms/158166_chunk_20.pt,Eurasian Skylark
./processed_spectrograms/138979_chunk_0.pt,Meadow Pipit
./processed_spectrograms/138979_chunk_1.pt,Meadow Pipit
./processed_spectrograms/138979_chunk_2.pt,Meadow Pipit
./processed_spectrograms/138979_chunk_3.pt,Meadow Pipit
./processed_spectrograms/138979_chunk_4.pt,Meadow Pipit
./processed_spectrograms/138979_chunk_5.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_0.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_1.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_2.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_3.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_4.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_5.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_6.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_7.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_8.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_9.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_10.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_11.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_12.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_13.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_14.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_15.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_16.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_17.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_18.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_19.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_20.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_21.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_22.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_23.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_24.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_25.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_26.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_27.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_28.pt,Meadow Pipit
./processed_spectrograms/30614_chunk_29.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_0.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_1.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_2.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_3.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_4.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_5.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_6.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_7.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_8.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_9.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_10.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_11.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_12.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_13.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_14.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_15.pt,Meadow Pipit
./processed_spectrograms/142431_chunk_16.pt,Meadow Pipit
./processed_spectrograms/83705_chunk_0.pt,Tree Pipit
./processed_spectrograms/83705_chunk_1.pt,Tree Pipit
./processed_spectrograms/83705_chunk_2.pt,Tree Pipit
./processed_spectrograms/83705_chunk_3.pt,Tree Pipit
./processed_spectrograms/83705_chunk_4.pt,Tree Pipit
./processed_spectrograms/83705_chunk_5.pt,Tree Pipit
./processed_spectrograms/83705_chunk_6.pt,Tree Pipit
./processed_spectrograms/83705_chunk_7.pt,Tree Pipit
./processed_spectrograms/83705_chunk_8.pt,Tree Pipit
./processed_spectrograms/83705_chunk_9.pt,Tree Pipit
./processed_spectrograms/83705_chunk_10.pt,Tree Pipit
./processed_spectrograms/33395_chunk_0.pt,Tree Pipit
./processed_spectrograms/33395_chunk_1.pt,Tree Pipit
./processed_spectrograms/33395_chunk_2.pt,Tree Pipit
./processed_spectrograms/33395_chunk_3.pt,Tree Pipit
./processed_spectrograms/33395_chunk_4.pt,Tree Pipit
./processed_spectrograms/33395_chunk_5.pt,Tree Pipit
./processed_spectrograms/33395_chunk_6.pt,Tree Pipit
./processed_spectrograms/33395_chunk_7.pt,Tree Pipit
./processed_spectrograms/33395_chunk_8.pt,Tree Pipit
./processed_spectrograms/33395_chunk_9.pt,Tree Pipit
./processed_spectrograms/99299_chunk_0.pt,Tree Pipit
./processed_spectrograms/99299_chunk_1.pt,Tree Pipit
./processed_spectrograms/99299_chunk_2.pt,Tree Pipit
./processed_spectrograms/99299_chunk_3.pt,Tree Pipit
./processed_spectrograms/99299_chunk_4.pt,Tree Pipit
./processed_spectrograms/99299_chunk_5.pt,Tree Pipit
./processed_spectrograms/139552_chunk_0.pt,Common Swift
./processed_spectrograms/139552_chunk_1.pt,Common Swift
./processed_spectrograms/139552_chunk_2.pt,Common Swift
./processed_spectrograms/67307_chunk_0.pt,Common Swift
./processed_spectrograms/67307_chunk_1.pt,Common Swift
./processed_spectrograms/67307_chunk_2.pt,Common Swift
./processed_spectrograms/67307_chunk_3.pt,Common Swift
./processed_spectrograms/67307_chunk_4.pt,Common Swift
./processed_spectrograms/67307_chunk_5.pt,Common Swift
./processed_spectrograms/67307_chunk_6.pt,Common Swift
./processed_spectrograms/67307_chunk_7.pt,Common Swift
./processed_spectrograms/67307_chunk_8.pt,Common Swift
./processed_spectrograms/67307_chunk_9.pt,Common Swift
./processed_spectrograms/67307_chunk_10.pt,Common Swift
./processed_spectrograms/67307_chunk_11.pt,Common Swift
./processed_spectrograms/67307_chunk_12.pt,Common Swift
./processed_spectrograms/67307_chunk_13.pt,Common Swift
./processed_spectrograms/67307_chunk_14.pt,Common Swift
./processed_spectrograms/67307_chunk_15.pt,Common Swift
./processed_spectrograms/77645_chunk_0.pt,Common Swift
./processed_spectrograms/77645_chunk_1.pt,Common Swift
./processed_spectrograms/77645_chunk_2.pt,Common Swift
./processed_spectrograms/77645_chunk_3.pt,Common Swift
./processed_spectrograms/77645_chunk_4.pt,Common Swift
./processed_spectrograms/94584_chunk_0.pt,Canada Goose
./processed_spectrograms/94584_chunk_1.pt,Canada Goose
./processed_spectrograms/94584_chunk_2.pt,Canada Goose
./processed_spectrograms/94584_chunk_3.pt,Canada Goose
./processed_spectrograms/94584_chunk_4.pt,Canada Goose
./processed_spectrograms/94584_chunk_5.pt,Canada Goose
./processed_spectrograms/94584_chunk_6.pt,Canada Goose
./processed_spectrograms/94584_chunk_7.pt,Canada Goose
./processed_spectrograms/94584_chunk_8.pt,Canada Goose
./processed_spectrograms/35578_chunk_0.pt,Canada Goose
./processed_spectrograms/35578_chunk_1.pt,Canada Goose
./processed_spectrograms/35578_chunk_2.pt,Canada Goose
./processed_spectrograms/95381_chunk_0.pt,Canada Goose
./processed_spectrograms/95381_chunk_1.pt,Canada Goose
./processed_spectrograms/95381_chunk_2.pt,Canada Goose
./processed_spectrograms/95381_chunk_3.pt,Canada Goose
./processed_spectrograms/64738_chunk_0.pt,Dunlin
./processed_spectrograms/118363_chunk_0.pt,Dunlin
./processed_spectrograms/83894_chunk_0.pt,Dunlin
./processed_spectrograms/83894_chunk_1.pt,Dunlin
./processed_spectrograms/83894_chunk_2.pt,Dunlin
./processed_spectrograms/83894_chunk_3.pt,Dunlin
./processed_spectrograms/83894_chunk_4.pt,Dunlin
./processed_spectrograms/83894_chunk_5.pt,Dunlin
./processed_spectrograms/83894_chunk_6.pt,Dunlin
./processed_spectrograms/83894_chunk_7.pt,Dunlin
./processed_spectrograms/83894_chunk_8.pt,Dunlin
./processed_spectrograms/156388_chunk_0.pt,European Nightjar
./processed_spectrograms/156388_chunk_1.pt,European Nightjar
./processed_spectrograms/156388_chunk_2.pt,European Nightjar
./processed_spectrograms/156388_chunk_3.pt,European Nightjar
./processed_spectrograms/156388_chunk_4.pt,European Nightjar
./processed_spectrograms/156388_chunk_5.pt,European Nightjar
